,Unnamed: 0,Company,depart_time,flight_time,arrival_time,num_stops,stop_location,source,destination,days_remaining,price
80,80,Vistara,6.75,2.083333333333333,8.833333333333334,0,None,Mumbai,Chennai,20,5944
81,81,Vistara,9.75,2.083333333333333,11.833333333333334,0,None,Mumbai,Chennai,20,5944
82,82,Vistara,17.833333333333332,2.0,19.83333333333333,0,None,Mumbai,Chennai,20,5944
83,83,Vistara,21.0,2.083333333333333,23.08333333333333,0,None,Mumbai,Chennai,20,5944
84,84,Air India,5.416666666666667,2.0,7.416666666666667,0,None,Mumbai,Chennai,20,6048
85,85,SpiceJet,5.666666666666667,2.1666666666666665,7.833333333333333,0,None,Mumbai,Chennai,20,6048
86,86,SpiceJet,19.58333333333333,1.9166666666666663,21.5,0,None,Mumbai,Chennai,20,6048
87,87,AirAsia,13.083333333333334,4.166666666666667,17.25,0,None,Mumbai,Chennai,20,6048
88,88,AirAsia,13.083333333333334,4.166666666666667,17.25,1,Bengaluru,Mumbai,Chennai,20,6048
89,89,IndiGo,9.166666666666666,6.083333333333333,15.25,1,Coimbatore,Mumbai,Chennai,20,6311
90,90,IndiGo,7.25,4.166666666666667,11.416666666666666,1,Hyderabad,Mumbai,Chennai,20,6363
91,91,IndiGo,6.083333333333333,5.333333333333333,11.416666666666666,1,Hyderabad,Mumbai,Chennai,20,6363
92,92,IndiGo,9.0,6.166666666666667,15.166666666666666,1,Hyderabad,Mumbai,Chennai,20,6363
93,93,IndiGo,12.0,9.666666666666666,21.666666666666668,1,Madurai,Mumbai,Chennai,20,6363
94,94,IndiGo,12.416666666666666,9.333333333333334,21.75,1,Kannur,Mumbai,Chennai,20,6363
95,95,IndiGo,18.08333333333333,4.0,22.08333333333333,1,Hyderabad,Mumbai,Chennai,20,6363
96,96,IndiGo,17.5,4.583333333333333,22.08333333333333,1,Hyderabad,Mumbai,Chennai,20,6363
97,97,IndiGo,0.3333333333333333,1.8333333333333333,2.1666666666666665,0,None,Mumbai,Chennai,30,3981
98,98,IndiGo,5.583333333333333,1.9166666666666663,7.5,0,None,Mumbai,Chennai,30,3981
99,99,IndiGo,22.25,1.8333333333333333,0.0833333333333333,0,None,Mumbai,Chennai,30,3981
100,100,SpiceJet,5.666666666666667,2.1666666666666665,7.833333333333333,0,None,Mumbai,Chennai,30,4568
101,101,SpiceJet,19.58333333333333,1.9166666666666663,21.5,0,None,Mumbai,Chennai,30,4568
102,102,IndiGo,7.0,1.8333333333333333,8.833333333333334,0,None,Mumbai,Chennai,30,4893
103,103,IndiGo,9.25,2.0,11.25,0,None,Mumbai,Chennai,30,4893
104,104,IndiGo,10.25,2.0,12.25,0,None,Mumbai,Chennai,30,4893
105,105,IndiGo,19.666666666666668,1.9166666666666663,21.58333333333333,0,None,Mumbai,Chennai,30,4893
106,106,AirAsia,13.083333333333334,4.166666666666667,17.25,1,Bengaluru,Mumbai,Chennai,30,6048
107,107,IndiGo,6.083333333333333,5.333333333333333,11.416666666666666,1,Hyderabad,Mumbai,Chennai,30,6068
108,108,IndiGo,18.08333333333333,4.0,22.08333333333333,1,Hyderabad,Mumbai,Chennai,30,6068
109,109,IndiGo,17.5,4.583333333333333,22.08333333333333,1,Hyderabad,Mumbai,Chennai,30,6068
110,110,IndiGo,9.166666666666666,6.083333333333333,15.25,1,Coimbatore,Mumbai,Chennai,30,6237
111,111,IndiGo,7.25,4.166666666666667,11.416666666666666,1,Hyderabad,Mumbai,Chennai,30,6363
112,112,IndiGo,11.166666666666666,4.0,15.166666666666666,1,Hyderabad,Mumbai,Chennai,30,6363
113,113,IndiGo,9.0,6.166666666666667,15.166666666666666,1,Hyderabad,Mumbai,Chennai,30,6363
114,114,IndiGo,12.0,7.0,19.0,1,Madurai,Mumbai,Chennai,30,6363
115,115,IndiGo,11.0,9.166666666666666,20.166666666666668,1,Kochi,Mumbai,Chennai,30,6363
116,116,IndiGo,16.083333333333332,4.166666666666667,20.25,1,Hyderabad,Mumbai,Chennai,30,6363
